"id","betweennessG","indegreeG","outdegreeG","totaldegreeG","inclosenessG","outclosenessG","totalclosenessG","com_mod"
"JaviBasay",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"PTJBuzz",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"lovacarhez",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"GeoUgalde",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"djluizzi",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"wanarana",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"crowjustice",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"mendezcomprende",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"amau77",0,0,16,16,6.77409632874178e-10,6.77762429260173e-10,6.77762429260173e-10,26
"_Octavio",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Sam_Castaneda",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sirgilmustaine",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"HK7Roiz",0,0,5,5,6.77409632874178e-10,6.77533069869134e-10,6.77533069869134e-10,5
"Zapatitos_blue",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"TonoEspiritu",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ingperlacantu",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"dolfan4ever",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"richardsonalva",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"lagmgame",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"YOENMP",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Zeltdrink",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"XyRCK",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"APau_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"MikeBaroudi",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"slpwlkr",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"yellarr",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"charlymax22",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,16
"alex_murillo73",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"usted_no_dice",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"taponhg",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"cachetitos75",0,0,6,6,6.77409632874178e-10,6.77533070328185e-10,6.77533070328185e-10,5
"alfachio",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"ArdilladelBoske",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"yogilulis",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,19
"chiken_27",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jazzydavalos08",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,17
"msAlezhiCabrera",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"frankk23",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"sabassbo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"CJPG_13",0,0,2,2,6.77409632874178e-10,6.77480162398499e-10,6.77480162398499e-10,5
"dannuu",0,0,5,5,6.77409632874178e-10,6.77497798221924e-10,6.77497798221924e-10,5
"JairoDavid89",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"SantiagoGaona",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Nadiayue",0,0,7,7,6.77409632874178e-10,6.77568346107332e-10,6.77568346107332e-10,14
"maroltri",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"FJVaqueiro",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Lareggies",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"elicitizen",0,0,3,3,6.77409632874178e-10,6.77462529329021e-10,6.77462529329021e-10,5
"PedroAmador",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"elARTUvis",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"mariorodrigocf",0,0,5,5,6.77409632874178e-10,6.77515433586466e-10,6.77515433586466e-10,5
"HelloDF",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"KobeAB95",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"hectoringo713",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"juvencejjo",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"123porQuet",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"farbenovsky",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"dianirus",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"james_rodrguez",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"janiras14",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"veromontanum",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"CdeCharlie",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"claudash_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"chngich",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Nietzscha",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"yosoy_batman",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"gric_g",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"luisgk_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"LaFarfalla1986",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"aromanon",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"brauliomtz",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"M3WO",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ljbautista",0,0,2,2,6.77409632874178e-10,6.77462528870066e-10,6.77462528870066e-10,5
"saeb2",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"pcc_",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"AbsolutChicken",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"jcavendanoc",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"aztlancity",0,0,4,4,6.77409632874178e-10,6.77480163316458e-10,6.77480163316458e-10,5
"astridJacomeG",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"GToledo21",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,5
"willyoso",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Stevio_O",0,0,4,4,6.77409632874178e-10,6.77515433127439e-10,6.77515433127439e-10,5
"pepebecerril",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"SOUJAM",0,0,2,2,6.77409632874178e-10,6.77444896259544e-10,6.77444896259544e-10,16
"Irvin_sanchez",0,0,8,8,6.77409632874178e-10,6.77568346566431e-10,6.77568346566431e-10,5
"1NestorTorres",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"EktorDeanda",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"ATROSK73",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"Yaelphuv",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"fueradefococine",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
"kynkona",0,0,1,1,6.77409632874178e-10,6.77427264107953e-10,6.77427264107953e-10,5
